dataset_id,tile_r,tile_c,tile_h,tile_w,channels
2024-02-06_13h58m18s,0,0,256,256,64
2023-09-19_16h37m01s,256,0,256,256,28
2023-09-19_16h37m01s,512,0,256,256,64
2023-09-19_16h37m01s,0,0,256,256,64
2023-10-05_15h23m33s,0,0,256,256,64
2024-02-28_03h45m28s,0,0,256,256,64
2024-02-28_03h45m28s,0,256,256,256,64
2024-02-28_03h45m28s,0,512,256,256,64
2023-06-02_10h47m47s,0,0,256,256,64
2023-06-02_10h47m47s,256,0,256,256,64
2023-09-13_17h11m57s,0,0,256,256,50
2023-09-13_17h11m57s,0,256,256,256,44
2023-09-13_17h11m57s,256,0,256,256,53
2023-09-13_17h11m57s,256,256,256,256,42
2023-06-21_13h21m40s,0,0,256,256,64
2023-06-21_13h21m40s,0,256,256,256,64
2023-06-21_13h21m40s,0,512,256,256,64
2023-12-05_15h03m50s,0,0,256,256,35
2023-12-05_15h03m50s,0,256,256,256,39
2023-12-05_15h03m50s,256,0,256,256,39
2023-12-05_15h03m50s,256,256,256,256,39
2024-06-12_15h32m57s,0,0,256,256,64
2024-06-12_15h33m53s,0,0,256,256,17
2023-11-16_11h30m42s,0,0,256,256,37
2023-06-20_13h44m18s,0,0,256,256,64
2023-06-20_13h44m18s,0,256,256,256,64
2023-06-20_13h44m18s,0,512,256,256,59
2024-06-12_15h51m12s,0,0,256,256,21
2023-10-25_16h42m47s,0,0,256,256,35
2024-06-12_15h27m25s,0,0,256,256,25
2022-05-06_18h26m06s,0,0,256,256,28
2022-05-06_18h26m06s,0,256,256,256,28
2024-06-12_15h41m27s,0,0,256,256,35
2023-08-18_15h39m28s,0,0,256,256,64
2022-10-18_13h46m45s,0,0,256,256,64
2022-10-18_14h44m19s,0,0,256,256,64
2022-07-11_17h11m07s,0,512,256,256,64
2022-07-11_17h11m07s,0,768,256,256,64
2023-08-22_00h23m31s,0,0,256,256,64
2024-09-19_00h01m48s,0,0,256,256,18
2024-12-08_23h19m43s,0,0,256,256,64
2022-01-31_09h30m29s,0,0,256,256,29
2021-09-17_22h36m14s,0,0,256,256,64
2021-09-17_22h36m14s,0,256,256,256,64
2022-01-31_08h54m51s,0,0,256,256,64
2024-02-02_00h29m28s,0,0,256,256,23
2024-02-15_20h25m33s,0,0,256,256,24
2022-10-07_08h27m08s,0,0,256,256,42
2023-06-07_10h57m44s,0,0,256,256,64
2022-05-30_20h04m48s,0,0,256,256,64
2022-01-31_09h18m06s,0,0,256,256,33
2024-05-31_22h29m10s,0,0,256,256,64
2023-10-09_12h20m59s,0,0,256,256,64
2023-07-07_04h50m52s,0,0,256,256,64
2022-01-31_09h08m54s,0,0,256,256,64
2023-04-21_13h44m01s,0,0,256,256,33
2024-11-28_15h40m16s,0,0,256,256,64
2024-11-28_15h40m16s,256,0,256,256,64
2023-03-13_10h22m33s,0,0,256,256,14
2023-03-13_10h22m33s,0,256,256,256,14
2023-03-13_10h22m33s,256,0,256,256,15
2023-03-13_10h22m33s,256,256,256,256,14
2024-05-31_22h39m50s,0,0,256,256,64
2023-07-12_00h00m38s,0,0,256,256,45
2022-01-12_10h42m57s,0,0,256,256,64
2022-01-12_10h42m57s,0,256,256,256,64
2022-02-28_12h37m31s,0,0,256,256,64
2023-06-05_15h17m28s,0,0,256,256,64
2023-06-05_11h45m44s,0,0,256,256,64
2022-08-16_10h14m23s,0,0,256,256,64
2023-12-05_15h15m49s,0,0,256,256,64
2023-12-07_14h49m31s,0,0,256,256,64
2022-07-11_15h54m19s,0,0,256,256,64
2022-07-11_15h54m19s,0,256,256,256,64
2023-10-25_22h45m02s,0,0,256,256,64
2023-07-05_22h26m29s,0,0,256,256,64
2023-09-20_10h59m53s,0,0,256,256,64
2024-07-05_10h17m06s,0,0,256,256,21
2022-02-22_11h06m11s,0,0,256,256,64
2024-11-21_15h40m02s,0,0,256,256,64
2023-07-07_04h43m03s,256,0,256,256,64
2023-06-19_10h46m24s,0,0,256,256,64
2023-06-19_10h46m24s,256,0,256,256,64
2022-02-14_11h58m38s,0,0,256,256,64
2022-02-14_11h58m38s,256,0,256,256,64
2022-02-14_11h58m38s,256,256,256,256,64
2022-02-14_11h58m38s,512,0,256,256,64
2022-02-14_11h58m38s,512,256,256,256,64
2023-11-02_21h49m26s,0,0,256,256,64
2024-07-25_01h59m23s,0,0,256,256,64
2024-07-18_19h17m30s,0,0,256,256,64
2022-01-31_09h44m30s,0,0,256,256,18
2023-09-05_17h06m14s,0,0,256,256,64
2024-06-12_23h33m36s,0,0,256,256,64
2022-05-17_15h40m15s,0,256,256,256,64
2022-05-17_15h40m15s,0,512,256,256,64
2022-05-17_15h40m15s,0,768,256,256,64
2022-05-17_15h40m15s,0,1024,256,256,64
2022-05-17_15h40m15s,256,0,256,256,64
2022-05-17_15h40m15s,256,256,256,256,64
2022-05-17_15h40m15s,256,512,256,256,64
2022-05-17_15h40m15s,256,768,256,256,64
2022-05-17_15h40m15s,256,1024,256,256,64
2022-05-17_15h40m15s,512,0,256,256,64
2022-05-17_15h40m15s,512,256,256,256,64
2022-05-17_15h40m15s,512,512,256,256,64
2022-05-17_15h40m15s,512,768,256,256,64
2022-05-17_15h40m15s,512,1024,256,256,64
2023-10-09_14h49m10s,0,0,256,256,64
2023-02-10_11h47m46s,0,0,256,256,64
2022-03-08_16h44m33s,0,0,256,256,64
2022-03-08_16h44m33s,256,0,256,256,64
2022-03-04_11h13m43s,0,0,256,256,64
2022-03-04_11h13m43s,256,0,256,256,64
2024-02-15_20h26m38s,0,0,256,256,15
2023-10-02_17h16m22s,0,0,256,256,64
2023-10-02_17h16m22s,0,256,256,256,64
2023-10-02_17h16m22s,256,0,256,256,64
2023-10-02_17h16m22s,256,256,256,256,64
2023-10-02_17h16m22s,512,0,256,256,64
2023-10-02_17h16m22s,512,256,256,256,64
2023-08-10_00h34m44s,0,0,256,256,9
2023-03-20_17h36m39s,0,0,256,256,11
2023-03-20_17h36m39s,0,256,256,256,11
2023-03-08_20h21m57s,0,0,256,256,24
2023-03-09_18h28m41s,0,0,256,256,24
2023-05-07_16h51m58s,0,0,256,256,64
2023-07-09_23h18m49s,0,0,256,256,64
2023-04-04_07h50m38s,0,0,256,256,64
2024-05-22_12h09m54s,0,0,256,256,53
2023-03-05_19h48m07s,0,0,256,256,12
2023-05-07_16h45m33s,0,0,256,256,57
2024-11-21_15h41m14s,0,0,256,256,64
2023-09-05_16h12m30s,0,0,256,256,64
2024-09-07_10h59m37s,0,0,256,256,64
2023-09-22_18h11m23s,0,0,256,256,64
2022-03-30_19h09m25s,0,0,256,256,64
2023-11-21_18h13m32s,0,0,256,256,12
2022-03-07_11h16m23s,0,0,256,256,64
2022-03-07_11h16m23s,0,256,256,256,64
2022-03-07_11h16m23s,256,0,256,256,64
2022-03-07_11h16m23s,256,256,256,256,64
2022-03-07_11h16m23s,512,0,256,256,64
2022-03-07_11h16m23s,512,256,256,256,64
2023-03-10_19h33m25s,0,0,256,256,39
2023-10-03_10h58m29s,0,0,256,256,64
2024-07-12_21h26m04s,0,0,256,256,64
2023-05-16_22h06m15s,0,0,256,256,64
2023-05-23_06h42m56s,0,0,256,256,64
2022-02-28_12h37m31s,256,0,256,256,64
2023-05-23_06h42m40s,0,0,256,256,64
2023-03-20_17h58m48s,0,0,256,256,64
2023-03-20_17h58m48s,0,256,256,256,64
2023-03-20_17h58m48s,0,512,256,256,64
2024-02-05_16h57m12s,0,0,256,256,18
2022-03-02_15h56m01s,0,0,256,256,64
2022-03-02_15h56m01s,0,256,256,256,64
2022-03-02_15h56m01s,256,0,256,256,64
2022-03-02_15h56m01s,256,256,256,256,64
2022-03-02_15h56m01s,512,0,256,256,64
2022-03-02_15h56m01s,512,256,256,256,64
2022-10-31_20h25m55s,0,0,256,256,15
2023-05-23_06h43m54s,0,0,256,256,51
2023-12-04_10h53m49s,0,0,256,256,64
2024-05-21_09h58m12s,0,0,256,256,12
2024-05-21_09h58m12s,256,0,256,256,12
2023-09-05_16h59m16s,0,0,256,256,64
2023-07-09_23h26m29s,0,0,256,256,42
2023-03-14_06h32m54s,0,0,256,256,45
2022-07-11_16h07m45s,0,0,256,256,64
2022-07-11_16h07m45s,0,256,256,256,64
2023-09-07_13h13m19s,0,0,256,256,64
2023-09-07_11h38m52s,0,0,256,256,64
2024-12-02_10h45m12s,0,0,256,256,64
2024-12-02_10h45m12s,0,2048,256,256,64
2024-12-02_10h45m12s,256,512,256,256,64
2024-12-02_10h45m12s,256,1024,256,256,64
2024-12-02_10h45m12s,256,1280,256,256,64
2024-12-02_10h45m12s,256,2048,256,256,61
2021-09-27_12h10m59s,0,0,256,256,64
2022-10-07_08h07m44s,0,0,256,256,34
2023-11-02_21h52m21s,0,0,256,256,64
2024-11-21_15h37m00s,0,0,256,256,44
2024-11-21_15h38m14s,0,0,256,256,14
2022-12-02_10h02m26s,0,0,256,256,29
2024-04-29_20h29m32s,0,0,256,256,15
2021-11-09_15h54m35s,0,0,256,256,64
2021-11-09_15h54m35s,0,256,256,256,64
2021-11-09_15h54m35s,0,512,256,256,64
2021-11-09_15h54m35s,0,768,256,256,64
2021-11-09_15h54m35s,0,1024,256,256,64
2021-11-09_15h54m35s,256,0,256,256,64
