dataset_id,tile_h,tile_w,channels
2024-02-15_23h14m31s,176,108,32
2022-07-06_09h33m52s,209,273,32
2023-09-07_11h42m18s,133,268,32
2023-08-10_07h21m08s,86,168,32
2023-12-18_17h45m47s,271,205,32
2023-08-12_12h11m58s,95,188,32
2025-03-24_20h42m59s,216,179,32
2025-08-06_19h21m53s,53,71,32
2024-04-03_01h17m03s,54,86,29
2024-02-15_23h49m27s,277,94,32
2024-12-19_12h08m46s,117,92,32
2026-01-14_18h16m04s,71,61,32
2023-11-23_18h31m21s,75,161,32
2024-12-11_15h44m28s,100,100,24
2024-06-06_19h16m21s,89,219,32
2025-06-17_18h25m06s,62,124,32
2026-01-13_22h01m37s,53,71,28
2025-11-25_11h59m02s,86,88,13
2024-02-06_13h58m18s,325,286,32
2023-12-01_11h35m44s,269,200,32
2023-11-22_10h40m34s,73,78,32
2023-06-27_23h39m21s,144,74,32
2023-09-19_16h37m01s,842,356,32
2026-01-13_22h13m40s,94,89,17
2025-03-24_21h20m17s,212,198,32
2025-12-02_21h56m12s,313,445,32
2024-12-12_13h21m11s,298,230,32
2026-01-14_18h21m24s,61,75,32
2023-08-03_16h56m19s,284,93,32
2026-01-13_22h13m17s,46,102,32
2025-01-10_20h10m57s,279,135,32
2025-11-25_00h45m19s,85,119,23
2026-01-13_22h03m16s,53,71,28
2026-01-14_18h16m37s,76,51,32
2026-01-13_22h12m59s,68,95,32
2026-01-14_18h31m19s,69,77,29
2026-01-14_18h19m24s,81,62,32
2026-01-14_18h22m11s,54,56,32
2026-01-14_18h22m18s,81,69,32
2025-04-14_09h45m39s,298,241,31
2025-08-06_19h22m14s,81,81,32
2024-12-18_09h04m51s,74,147,21
2023-10-05_15h23m33s,323,390,32
2023-12-19_13h02m39s,279,204,32
2023-06-27_23h40m04s,152,111,32
2024-02-28_03h45m28s,360,972,32
2023-09-29_18h44m00s,250,470,32
2023-06-27_23h41m57s,137,110,32
2023-09-13_17h11m57s,647,598,32
2022-09-28_19h10m41s,166,695,32
2024-01-16_15h35m38s,25,956,32
2023-06-02_10h47m47s,550,355,32
2023-06-21_13h21m40s,452,987,32
2023-12-05_15h03m50s,741,737,16
2025-04-30_00h04m31s,415,305,32
2025-10-23_10h25m38s,209,339,32
2024-06-12_15h32m57s,345,281,24
2024-12-12_20h35m28s,138,138,11
2025-05-30_19h01m20s,451,266,11
2025-12-01_18h07m19s,381,198,32
2024-05-01_17h50m07s,368,126,20
2025-01-13_20h58m06s,322,149,32
2025-10-31_17h05m51s,234,230,10
2025-07-08_22h58m24s,68,95,32
2025-04-14_09h12m31s,198,217,14
2025-11-25_00h47m27s,203,262,17
2025-03-24_22h31m01s,247,241,32
2025-10-10_18h34m48s,241,135,14
2026-01-14_18h31m10s,51,48,32
2024-10-08_23h55m58s,248,111,32
2025-11-25_00h53m36s,374,707,25
2026-01-13_21h58m56s,81,81,32
2025-10-10_18h31m35s,128,175,24
2025-12-01_17h52m39s,225,344,19
2026-01-13_22h13m31s,94,89,32
2026-01-13_22h32m06s,69,77,13
2024-12-17_16h33m27s,47,47,12
2025-11-25_11h55m48s,91,100,19
2021-09-14_19h16m52s,254,61,32
2023-11-16_11h30m42s,440,299,32
2024-06-12_22h49m10s,240,109,32
2026-01-14_18h21m32s,74,82,32
2025-08-06_19h19m56s,46,102,32
2025-04-08_14h28m00s,268,257,10
2024-06-12_23h37m28s,274,94,32
2026-01-14_18h21m01s,54,69,32
2026-01-14_18h21m07s,54,62,32
2023-06-27_23h38m39s,95,157,32
2025-08-06_19h21m28s,61,61,32
2023-06-27_22h58m39s,111,158,32
2023-09-29_10h49m52s,250,470,32
2023-06-27_22h58m59s,145,94,32
2023-06-27_22h57m11s,148,111,32
2024-04-03_10h09m53s,79,156,32
2023-06-20_13h44m18s,452,987,32
2024-04-03_10h07m28s,83,157,32
2025-04-22_13h37m11s,279,309,9
2025-04-22_13h31m00s,336,210,17
2024-09-28_16h12m14s,271,193,12
2023-10-25_16h42m47s,344,471,13
2024-12-21_07h33m51s,74,88,17
2026-01-13_22h13m24s,46,102,32
2025-10-31_15h43m41s,170,134,13
2024-07-09_13h50m50s,241,168,10
2024-06-12_15h48m52s,228,472,25
2024-12-11_15h47m07s,193,131,8
2025-05-30_19h27m49s,168,296,10
2025-03-31_10h41m20s,171,183,10
2025-10-10_18h33m13s,212,107,9
2025-10-10_16h48m26s,83,110,14
2024-06-12_15h27m25s,368,272,9
2025-04-10_23h29m14s,135,99,32
2025-12-01_17h45m33s,229,275,24
2025-12-02_21h51m36s,162,150,24
2026-01-14_18h21m17s,88,108,32
2024-12-21_10h17m55s,74,88,32
2024-02-15_22h30m57s,112,128,32
2025-08-28_13h58m37s,362,370,21
2025-12-01_17h59m42s,395,283,19
2025-12-01_18h11m14s,361,314,32
2026-01-14_18h20m54s,61,75,32
2025-10-31_15h20m37s,170,197,8
2024-12-10_04h23m56s,58,82,10
2026-01-13_22h32m14s,69,77,17
2025-01-17_09h52m41s,354,202,16
2025-12-02_21h59m44s,125,194,32
2025-10-24_17h02m31s,312,173,16
2024-04-30_10h38m37s,82,177,9
2024-12-19_12h00m15s,100,106,14
2025-01-31_09h13m43s,782,2629,13
2024-04-25_07h49m19s,76,183,8
2024-12-17_16h38m04s,69,125,32
2024-12-17_16h40m47s,154,126,32
2025-12-01_18h26m25s,392,321,15
2025-12-01_18h31m47s,192,128,16
2025-04-15_08h27m36s,156,156,32
2025-04-16_09h07m11s,336,161,8
2025-10-10_18h40m48s,453,215,25
2024-04-03_09h50m50s,84,145,32
2024-12-18_09h47m36s,121,118,32
2024-05-02_17h21m34s,341,112,11
2022-09-30_11h33m41s,199,820,32
2025-07-17_15h21m36s,208,161,17
2026-01-13_21h46m12s,61,61,32
2025-12-01_17h55m29s,229,335,32
2022-05-06_18h26m06s,300,580,11
2024-03-07_09h25m45s,328,505,17
2024-06-12_15h41m27s,280,389,14
2024-12-12_10h23m49s,130,155,24
2024-06-12_15h42m30s,234,457,23
2024-12-22_09h12m31s,74,88,10
2025-12-01_17h48m52s,234,370,21
2023-11-07_22h33m03s,238,138,32
2025-02-11_04h28m00s,20,18,8
2025-10-30_19h46m05s,323,202,15
2025-12-01_17h43m18s,188,191,9
2024-12-18_08h39m12s,151,217,18
2024-12-19_12h08m11s,62,49,32
2024-04-25_08h47m13s,27,67,16
2022-08-30_18h00m34s,138,58,32
2023-07-04_08h16m59s,60,105,11
2024-04-17_15h30m27s,31,36,22
2024-07-09_15h39m03s,257,169,8
2024-12-18_10h39m25s,142,141,24
2025-10-31_17h05m48s,258,198,13
2022-08-30_18h26m26s,221,99,30
2022-08-30_17h51m27s,84,54,32
2021-09-14_19h07m04s,209,83,32
2023-08-18_15h39m28s,289,511,30
2025-12-01_17h37m22s,241,247,9
2024-12-21_08h36m39s,232,260,11
2024-12-18_10h34m07s,105,111,32
2024-12-12_13h22m24s,302,239,32
2022-10-18_14h40m38s,255,273,32
2021-06-14_17h19m00s,100,39,17
2021-06-14_17h21m01s,126,41,10
2021-06-14_17h26m55s,189,81,29
2021-06-16_18h07m38s,76,48,26
2024-05-02_20h55m36s,287,213,14
2024-04-10_18h24m30s,42,188,32
2021-06-14_17h42m34s,187,91,28
2021-06-16_17h53m00s,107,57,32
2021-06-16_17h48m58s,102,50,32
2024-08-01_15h22m13s,95,104,32
2024-04-03_10h38m32s,92,124,32
2023-06-21_22h13m45s,49,60,32
2024-08-01_15h23m42s,89,76,32
2021-06-16_18h03m55s,49,63,29
2022-10-18_13h46m45s,261,477,28
2024-03-15_18h17m07s,112,21,32
2022-09-15_11h21m12s,90,93,32
2024-04-12_13h07m30s,67,339,32
2024-04-12_08h36m18s,73,323,32
2022-09-15_11h15m37s,90,125,32
2023-09-18_09h18m54s,90,125,32
2020-01-06_23h24m27s,105,141,32
2024-04-12_08h49m30s,67,325,32
2024-04-10_18h31m51s,46,211,32
2024-03-15_18h17m52s,158,19,32
2023-06-21_22h13m29s,31,38,32
2021-11-30_18h02m25s,110,77,12
2023-11-02_02h45m20s,61,282,32
2023-11-02_03h13m06s,56,289,32
2022-09-15_11h34m35s,90,93,32
2024-04-12_11h54m39s,60,555,32
2024-04-12_11h48m00s,70,543,32
2024-04-10_17h56m06s,68,485,19
2022-07-16_07h07m42s,152,21,32
2022-10-18_13h36m54s,205,483,32
2025-07-15_05h41m49s,54,291,32
2022-09-15_11h26m37s,90,95,32
2023-05-16_13h39m13s,145,207,32
2024-04-12_12h00m00s,63,541,32
2024-04-10_18h29m55s,46,200,32
2024-08-06_15h10m57s,137,106,32
2023-11-03_16h35m00s,46,384,32
2019-12-04_00h41m47s,142,110,32
2024-04-12_09h58m46s,44,248,10
2024-04-12_10h06m04s,44,258,10
2021-12-06_17h33m41s,110,86,32
2024-04-12_10h02m46s,40,250,17
2024-04-12_08h53m57s,53,278,32
2025-07-15_05h45m42s,54,371,32
2021-06-14_21h19m32s,88,206,32
2023-11-02_01h02m29s,56,316,32
2023-11-04_16h42m55s,46,459,32
2023-11-03_02h51m06s,66,343,30
2023-08-03_20h35m23s,229,87,32
2019-07-12_23h23m42s,128,166,20
2025-07-15_05h53m06s,54,380,32
2023-10-31_08h10m34s,51,292,16
2019-10-29_21h29m01s,185,142,32
2024-04-10_18h35m23s,42,189,32
2022-09-15_11h39m48s,90,131,22
2024-04-12_08h23m52s,65,452,32
2023-08-03_20h32m40s,209,119,32
2025-06-30_15h02m48s,24,48,32
2019-12-10_22h08m39s,90,174,32
2023-11-08_09h20m28s,51,311,32
2024-04-10_17h56m17s,70,432,14
2023-08-03_20h21m03s,80,224,32
2019-12-27_20h39m50s,134,123,25
2022-10-06_23h51m53s,68,102,32
2021-07-01_13h59m16s,100,100,14
2023-08-03_20h34m04s,213,91,32
2024-04-10_18h26m43s,46,241,32
2024-03-15_14h53m12s,95,113,32
2024-04-10_18h33m02s,38,189,32
2022-11-18_18h34m11s,161,241,32
2021-11-30_18h26m10s,45,134,32
2016-12-09_10h16m23s,188,356,32
2017-03-21_14h30m51s,116,111,32
2023-06-26_16h10m39s,352,254,32
2023-11-08_03h48m24s,46,206,18
2021-06-15_19h43m38s,202,125,18
2021-06-16_17h00m54s,202,125,18
2024-02-15_23h44m05s,292,109,32
2019-10-29_21h23m43s,270,200,32
2025-06-30_15h01m25s,23,40,32
2022-11-18_19h09m21s,155,304,32
2025-07-15_05h30m43s,54,371,32
2021-08-05_17h50m44s,69,88,32
2022-05-21_20h01m28s,199,131,32
2024-04-12_08h55m13s,40,239,23
2025-07-15_05h48m55s,47,411,32
2023-02-21_22h29m47s,195,164,32
2025-07-15_06h07m22s,64,361,32
2025-07-15_05h57m07s,54,380,32
2019-12-09_21h13m26s,161,153,32
2025-07-15_05h33m11s,47,411,32
2017-08-03_19h01m00s,75,188,32
2023-11-08_04h25m39s,56,305,32
2023-10-31_08h56m29s,56,301,25
2025-10-15_17h16m29s,199,197,32
2022-09-15_03h40m53s,90,94,32
2025-07-15_05h18m58s,47,301,32
2025-11-20_04h42m04s,318,144,32
2019-12-09_21h07m16s,132,166,32
2023-11-08_02h28m13s,41,233,32
2022-05-21_20h03m48s,72,186,32
2026-01-06_18h20m39s,143,172,32
2023-06-26_15h47m41s,312,234,32
2025-07-15_05h36m12s,54,380,32
2025-06-30_15h02m24s,29,41,32
2022-12-16_17h10m08s,101,99,32
2022-11-18_18h29m34s,87,60,14
2022-05-21_20h06m35s,233,125,32
2019-10-26_00h19m57s,95,178,32
2025-11-20_16h29m47s,131,346,32
2025-02-18_11h01m47s,93,95,32
2019-10-29_16h33m32s,152,120,32
2020-08-11_14h47m17s,92,138,32
2025-11-24_16h59m27s,185,265,32
2024-04-10_18h10m55s,67,524,32
2021-12-06_17h34m44s,110,126,32
2019-10-25_22h58m22s,81,195,32
2023-08-30_10h21m45s,41,312,21
2023-09-08_12h05m55s,41,312,32
2023-09-13_08h19m26s,41,312,28
2023-09-14_16h37m16s,41,312,28
2024-03-15_14h53m53s,88,105,32
2021-12-06_17h33m11s,119,162,32
2023-05-02_13h17m16s,78,127,32
2022-12-21_14h38m29s,56,67,32
2018-09-30_03h19m19s,105,92,32
2025-10-02_20h50m16s,87,72,32
2025-07-15_05h10m34s,54,380,32
2019-10-29_21h40m16s,66,131,32
2024-04-12_07h58m55s,80,426,32
2024-04-10_18h37m47s,46,263,32
2025-12-04_17h25m57s,256,102,32
2025-10-28_19h31m20s,88,147,32
2025-11-15_18h32m11s,133,162,8
2022-09-15_11h10m56s,90,131,28
2024-04-10_18h36m11s,44,219,32
2016-10-25_14h29m20s,73,65,32
2019-12-01_19h08m56s,400,649,32
2022-09-15_11h13m32s,90,126,32
2022-11-15_01h18m53s,122,96,32
2025-03-26_19h28m26s,301,182,11
2021-03-22_14h42m06s,85,124,32
2025-11-15_18h34m15s,205,237,11
2022-10-06_23h30m24s,148,162,23
2025-07-30_20h51m47s,94,158,15
2024-05-20_20h53m05s,117,231,32
2019-10-29_21h47m59s,76,131,32
2021-12-06_17h34m59s,96,120,31
2026-01-06_18h19m45s,140,119,32
2019-10-29_21h57m51s,103,204,32
2023-11-07_13h59m54s,40,207,32
2023-10-31_07h01m41s,51,292,32
2017-04-20_11h36m39s,129,205,16
2025-03-24_20h33m40s,158,135,32
2022-05-21_20h02m10s,82,112,32
2023-12-19_19h04m45s,82,112,32
2018-10-15_20h09m22s,55,63,25
2022-10-18_14h52m51s,538,221,25
2025-12-04_17h26m48s,169,245,32
2024-04-10_18h32m21s,40,189,32
2025-07-15_05h38m53s,47,351,32
2021-06-14_17h15m59s,123,42,21
2024-04-03_02h54m26s,46,504,11
2025-07-28_05h22m43s,282,113,32
2022-11-18_18h52m17s,76,203,32
